Year,Month,Day,Hour,Minute,Second,Country,State,Location,Lat,Lon,RegionCode,MaxWaterHeight,MagIIDA,IntensitySoloviev,WarningStatus,DeathCount
1562,10,20,,,,ITALY,,REGGIO DI CALABRIA,40.50,15.50,50.00,,,4.00,,
1562,10,28,10,,,CHILE,,SOUTHERN CHILE,-38.70,-73.50,89.00,,4.00,3.50,,
1564,7,20,,,,FRANCE,,LIGURIA-COTE D'AZUR,44.02,7.28,50.00,,,4.00,,650.00
1570,2,8,13,,,CHILE,,CENTRAL CHILE,-36.75,-73.00,89.00,,2.00,3.00,,2000.00
1570,,,,,,GREECE,,DODECANESE,,,50.00,,,,,
1571,5,20,,,,JAPAN,,"TAKADA, JAPAN",,,85.00,,1.00,1.00,,
1571,7,17,18,2,,TURKEY,,MARMARA SEA,,,50.00,,,3.00,,
1571,11,1,,,,HOLLAND,,HOLLAND,,,73.00,,,,,
1575,12,16,18,30,,CHILE,,SOUTHERN CHILE,-39.80,-73.20,89.00,,2.00,2.50,,1321.00
1579,3,16,,,,COSTA RICA,,CANO ISLAND,8.71,-83.88,88.00,,,,,
1580,1,,,,,NORTH KOREA,,YELLOW SEA,40.00,128.00,84.00,,,1.00,,
1580,4,6,,,,UK,,"DOVER STRAITS, ENGLAND",51.02,1.31,73.00,,,,,
1582,1,22,16,30,,PERU,,S. PERU,-16.60,-71.60,89.00,,,,,
1584,3,11,10,30,,SWITZERLAND,,SWITZERLAND,46.33,6.97,73.00,18.00,,,,100.00
1584,3,17,,,,PERU,,PERU,-11.80,-77.80,89.00,,,,,
1585,6,11,,,,JAPAN,,OFF MIYAGI PREFECTURE,,,85.00,2.00,1.00,0.50,,
1586,1,18,,,,JAPAN,,ISE BAY,35.00,136.80,85.00,,2.00,1.00,,8000.00
1586,7,10,0,30,,PERU,,CENTRAL PERU,-12.30,-77.70,89.00,26.00,4.60,3.50,,22.00
1587,7,9,,,,PERU,,,-5.30,-80.50,89.00,,,,,
1589,3,21,,,,JAPAN,,"SURUGA, JAPAN",34.80,138.20,85.00,,1.00,1.00,,
1590,,,,,,PERU,,S. PERU,-17.20,-72.90,89.00,,,1.50,,
1591,7,26,,,,PORTUGAL,,AZORES,37.78,-25.50,73.00,,,,,
1594,,,,,,ITALY,,BAY OF NAPLES,40.80,14.40,50.00,,,5.00,,
1596,9,4,,,,JAPAN,,"BEPPU BAY, KYUSHU",33.30,131.70,85.00,5.00,2.00,2.00,,708.00
1597,9,10,,,,JAPAN,,"BEPPU BAY, JAPAN",33.30,131.60,85.00,,1.00,1.00,,40.00
1601,9,8,1,,,SWITZERLAND,,,46.80,8.50,50.00,,,,,9.00
1601,,,,,,GREECE,,ISLAND OF CRETE,35.50,25.50,50.00,,,,,
1602,2,8,,,,JAPAN,,"BOSO, JAPAN",35.10,140.50,85.00,,1.00,1.00,,
1603,,,,,,JAPAN,,KUMANONADA,,,85.00,2.00,1.00,1.00,,
1604,11,24,18,30,,PERU,,S. PERU,-17.88,-70.94,89.00,5.00,4.00,3.50,,174.00
1604,12,29,,,,CHINA,,SOUTH CHINA SEA,25.00,119.50,84.00,,,,,
1604,,,,,,GREECE,,CRETE,35.50,25.50,50.00,,,,,
1605,2,3,,,,JAPAN,,ENSHUNADA,33.50,138.50,85.00,,3.00,,,1001.00
1605,2,3,,,,JAPAN,,NANKAIDO,33.00,134.90,85.00,10.00,3.00,3.00,,5000.00
1606,1,23,,,,JAPAN,,CHICHIJIMA-TOKAIDO,31.90,140.00,85.00,,,,,
1607,1,30,9,0,,UK,,"BRISTOL CHANNEL, ENGLAND",51.50,-2.70,73.00,,,,,2000.00
1608,4,20,,,,IRAN,,CASPIAN SEA,36.40,50.50,40.00,,,,,
1608,7,1,,,,INDONESIA,,"GAMALAMA, TERNATE ISLAND",0.80,127.33,83.00,,,1.50,,
1609,1,19,,,,UK,,ENGLAND,51.50,0.47,73.00,,,,,
1609,4,,,,,GREECE,,ISLAND OF RHODES,36.40,28.40,50.00,,,4.00,,
1611,12,2,,,,JAPAN,,SANRIKU,39.00,144.50,85.00,25.00,3.50,4.00,,5000.00
1612,11,8,,,,GREECE,,ISLAND OF CRETE,35.50,25.50,50.00,,,4.00,,
1613,8,25,,,,ITALY,,MESSINA,38.12,14.78,50.00,,,4.00,,103.00
1614,11,26,,,,JAPAN,,NIIGATA PREFECTURE,37.50,138.00,85.00,,2.00,1.00,,
1615,6,5,,,,UKRAINE,,BLACK SEA,44.90,35.50,40.00,1.00,,2.00,,
1615,9,16,,,,CHILE,,NORTHERN CHILE,-18.50,-70.35,89.00,4.00,2.00,1.50,,
1616,9,9,,,,JAPAN,,MIYAGI PREFECTURE,38.10,142.00,85.00,,1.00,1.00,,
1616,12,6,,,,JAPAN,,SANRIKU,39.00,144.50,85.00,,1.00,1.00,,200.00
1619,5,1,,,,JAPAN,,"YATSUSHIRO, JAPAN",32.50,130.60,85.00,,,,,
1622,5,5,,,,GREECE,,ISLAND OF ZAKYNTHOS,37.60,21.00,50.00,,,,,
