Year,Month,Day,Hour,Minute,Second,FocalDepth,EQRichterMag,EQMomentMag,ModMercalli,Country,State,LocationName,Lat,Lon,DeathCount,Tsunami
885,11,27,,,,,,,10,EGYPT,,EGYPT:  AL-QAHIRAH (CAIRO),30.00,31.10,1000.00,No
887,8,2,,,,,7,,,JAPAN,,JAPAN:  HONSHU:  NIIGATA,37.50,138.10,2000.00,Yes
887,8,26,,,,,9,,,JAPAN,,JAPAN:  NANKAIDO,33.00,135.30,,Yes
891,,,,,    ,20,6,,9,IRAN,,IRAN:  ARDABIL,38.30,48.30,,No
893,12,24,,,,10,,,10,ARMENIA,,ARMENIA:  DVIN; IRAN:  ARDABIL,40.00,44.60,150000.00,No
894,,,,,    ,,5,,,ITALY,,ITALY:  VERONA,45.30,11.00,,No
896,9,4,,,    ,,,,10,MACEDONIA,,BALKANS NW:  MACEDONIA,41.70,22.90,,No
896,,,,,    ,,,,,ITALY,,ITALY:  ROMA (ROME),41.90,12.60,,No
898,,,,,    ,,,,,IRAN,,IRAN:  REY (RAY),35.30,51.20,,No
910,9,9,,,    ,,,,,IRAQ,,"IRAQ:  KUFAH,BAGHDAD",33.20,44.20,,No
912,4,,,,    ,,,,,IRAN,,IRAN:  DINAVAR,34.60,47.80,,No
922,,,,,,,7,,,JAPAN,,JAPAN:  KUMANONADA,33.80,136.70,,Yes
