Year,Month,Day,TSU,EQ,Name,Location,Country,Lat,Lon,Elevation,Type,Deaths
2015,10,,NO,NO,Okataina,New Zealand,New Zealand,-38.12,176.50,1111,Lava dome,
2015,2,20,NO,NO,Sinabung,Sumatra,Indonesia,3.17,98.39,2460,Stratovolcano,
2015,4,22,NO,NO,Calbuco,Chile-S,Chile,-41.33,-72.61,2003,Stratovolcano,
2015,5,7,NO,NO,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,
2015,7,31,NO,NO,Manam,New Guinea-NE of,Papua New Guinea,-4.10,145.06,1807,Stratovolcano,1
2016,5,21,NO,NO,Sinabung,Sumatra,Indonesia,3.17,98.39,2460,Stratovolcano,1
2016,5,9,NO,NO,Sinabung,Sumatra,Indonesia,3.17,98.39,2460,Stratovolcano,1
2016,6,9,NO,NO,Yellowstone,US-Wyoming,United States,44.43,-110.67,2805,Caldera,7
2016,9,27,NO,NO,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,1
2016,10,8,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,
2017,7,1,NO,NO,Dieng Volc Complex,Java,Indonesia,-7.20,109.92,2565,Complex volcano,
2017,12,18,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,
2017,9,12,NO,NO,Campi Flegrei,Italy,Italy,40.83,14.14,458,Caldera,
2017,3,15,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,
2017,4,13,NO,NO,Sinabung,Sumatra,Indonesia,3.17,98.39,2460,Stratovolcano,8
2017,6,6,NO,NO,Fuego,Guatemala,Guatemala,14.47,-90.88,3763,Stratovolcano,3
2017,9,23,NO,NO,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.40,167.83,1496,Shield volcano,
2017,12,27,NO,NO,Sinabung,Sumatra,Indonesia,3.17,98.39,2460,Stratovolcano,8
2018,4,28,YES,YES,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,
2018,12,15,NO,YES,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,
2018,12,26,NO,YES,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,437
2018,2,9,YES,NO,Kadovar,New Guinea-NE of,Papua New Guinea,-3.62,144.62,365,Stratovolcano,
2018,12,22,YES,NO,Krakatau,Indonesia,Indonesia,-6.10,105.42,813,Caldera,
2018,6,3,NO,NO,Fuego,Guatemala,Guatemala,14.47,-90.88,3763,Stratovolcano,
2018,3,30,NO,NO,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.40,167.83,1496,Shield volcano,
2018,1,23,NO,NO,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176,Stratovolcano,
2018,2,1,NO,NO,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,1
2018,1,5,NO,NO,Kadovar,New Guinea-NE of,Papua New Guinea,-3.62,144.62,365,Stratovolcano,1
2018,1,13,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,
2018,3,21,NO,NO,Ijen,Java,Indonesia,-8.06,114.24,2799,Stratovolcano,4
2018,7,16,NO,NO,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,165
2018,8,25,NO,NO,Manam,New Guinea-NE of,Papua New Guinea,-4.10,145.06,1807,Stratovolcano,
2019,7,3,NO,NO,Stromboli,Italy,Italy,38.79,15.21,926,Stratovolcano,
2019,1,7,NO,NO,Manam,New Guinea-NE of,Papua New Guinea,-4.10,145.06,1807,Stratovolcano,
2019,5,7,NO,NO,Sinabung,Sumatra,Indonesia,3.17,98.39,2460,Stratovolcano,
2019,6,26,NO,NO,Ulawun,New Britain-SW Pac,Papua New Guinea,-5.05,151.33,2334,Stratovolcano,
2019,6,28,NO,NO,Manam,New Guinea-NE of,Papua New Guinea,-4.10,145.06,1807,Stratovolcano,
2019,7,3,NO,NO,Stromboli,Italy,Italy,38.79,15.21,926,Stratovolcano,1
