Year,Month,Day,TSU,EQ,Name,Location,Country,Lat,Lon,Elevation,Type,Deaths
1630,9,3,NO,NO,Furnas,Azores,Portugal,37.77,-25.32,805,Stratovolcano,4
1631,12,16,YES,YES,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,200
1631,2,14,NO,YES,Dama Ali,Africa-NE,Ethiopia,11.28,41.63,1068,Shield volcano,50
1636,5,15,NO,NO,Hekla,Iceland-S,Iceland,63.98,-19.70,1491,Stratovolcano,4000
1638,,,NO,NO,Raung,Java,Indonesia,-8.13,114.04,3332,Stratovolcano,
1640,7,31,YES,YES,Komaga-take,Hokkaido-Japan,Japan,42.07,140.68,1140,Stratovolcano,700
1640,,,NO,NO,Tungurahua,Ecuador,Ecuador,-1.47,-78.44,5023,Stratovolcano,1001
1646,7,19,NO,NO,Makian,Halmahera-Indonesia,Indonesia,0.32,127.40,1357,Stratovolcano,5000
1650,9,26,YES,NO,Santorini,Greece,Greece,36.40,25.40,329,Shield volcano,
1659,9,30,NO,YES,San Salvador,El Salvador,El Salvador,13.74,-89.29,1893,Stratovolcano,120
1659,11,11,YES,NO,Teon,Banda Sea,Pacific Ocean,-6.92,129.13,655,Stratovolcano,
1660,,,YES,NO,Long Island,New Guinea-NE of,Papua New Guinea,-5.36,147.12,1280,Complex volcano,
1660,2,,NO,NO,Teon,Banda Sea,Pacific Ocean,-6.92,129.13,655,Stratovolcano,3
1660,11,3,NO,NO,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,
1663,8,16,NO,NO,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,2000
1664,,,YES,NO,Iwo-Tori-shima,Ryukyu Is,Japan,27.85,128.25,217,Complex volcano,30
1664,4,15,NO,NO,Unzen,Kyushu-Japan,Japan,32.75,130.30,1500,Complex volcano,5
1669,3,11,NO,YES,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,
1669,3,19,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,
1670,,,NO,NO,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.40,167.83,1496,Shield volcano,2
1672,8,4,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,
1672,4,24,NO,NO,Fayal,Azores,Portugal,38.60,-28.73,1043,Stratovolcano,3
1673,5,20,YES,NO,Gamkonora,Halmahera-Indonesia,Indonesia,1.38,127.52,1635,Stratovolcano,3000
1677,11,22,NO,NO,La Palma,Canary Is,Spain,28.58,-17.83,2426,Stratovolcano,
1679,9,21,NO,YES,Zukur,Red Sea,Yemen,14.02,42.75,624,Shield volcano,1
1682,8,12,NO,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,
1684,12,,NO,NO,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,4
1690,2,3,YES,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,1
1690,,,NO,NO,Guntur,Java,Indonesia,-7.13,107.83,2249,Complex volcano,
1692,6,4,NO,NO,Serua,Banda Sea,Pacific Ocean,-6.30,130.00,641,Stratovolcano,
1693,1,9,NO,YES,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,
1693,2,13,YES,NO,Hekla,Iceland-S,Iceland,63.98,-19.70,1491,Stratovolcano,
1694,11,20,NO,NO,Banda Api,Banda Sea,Pacific Ocean,-4.53,129.87,640,Caldera,
1698,5,,YES,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,
1698,,,NO,NO,Cereme,Java,Indonesia,-6.89,108.40,3078,Stratovolcano,
1698,,,NO,NO,Cotopaxi,Ecuador,Ecuador,-0.68,-78.44,5911,Stratovolcano,
1706,5,5,YES,NO,Tenerife,Canary Is,Spain,28.27,-16.64,3715,Stratovolcano,
1707,12,16,NO,YES,Fuji,Honshu-Japan,Japan,35.35,138.73,3776,Stratovolcano,
1707,5,,YES,NO,Santorini,Greece,Greece,36.40,25.40,329,Shield volcano,
1711,12,11,NO,NO,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.50,1320,Stratovolcano,
1712,1,15,NO,NO,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,3000
1714,6,30,YES,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,
1716,9,24,YES,YES,Taal,Luzon-Philippines,Philippines,14.00,120.99,400,Stratovolcano,
1716,11,9,NO,NO,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,
1716,7,20,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1716,10,5,NO,NO,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,
1717,2,7,NO,NO,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,1
1717,8,4,NO,NO,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,1
1717,8,27,NO,NO,Fuego,Guatemala,Guatemala,14.47,-90.88,3763,Stratovolcano,
1718,2,1,NO,NO,Pico,Azores,Portugal,38.47,-28.40,2351,Stratovolcano,
1721,6,22,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,2
1721,5,11,NO,NO,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,
1726,2,1,NO,NO,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,15
1727,8,3,NO,NO,Oraefajokull,Iceland-SE,Iceland,64.00,-16.65,2119,Stratovolcano,
1729,2,1,NO,NO,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,3
1729,6,30,NO,NO,Krafla,Iceland-NE,Iceland,65.73,-16.78,650,Caldera,
1730,9,1,NO,NO,Lanzarote,Canary Is,Spain,29.03,-13.63,670,Fissure vent,
1730,,,NO,NO,Tseax River Cone,Canada,Canada,55.12,-128.90,609,Pyroclastic cone,
1730,,,NO,NO,Raung,Java,Indonesia,-8.13,114.04,3332,Stratovolcano,
1737,5,20,NO,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,
1741,8,23,YES,NO,Oshima-Oshima,Hokkaido-Japan,Japan,41.50,139.37,737,Stratovolcano,2
1742,6,15,NO,NO,Cotopaxi,Ecuador,Ecuador,-0.68,-78.44,5911,Stratovolcano,2000
1742,12,9,NO,NO,Cotopaxi,Ecuador,Ecuador,-0.68,-78.44,5911,Stratovolcano,
1749,8,11,YES,YES,Taal,Luzon-Philippines,Philippines,14.00,120.99,400,Stratovolcano,
1753,10,15,NO,NO,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,
1754,5,13,YES,YES,Taal,Luzon-Philippines,Philippines,14.00,120.99,400,Stratovolcano,
1755,10,17,NO,NO,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,12
1757,7,9,NO,YES,San Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,2
1760,,,NO,NO,Makian,Halmahera-Indonesia,Indonesia,0.32,127.40,1357,Stratovolcano,1053
1762,,,NO,NO,Kliuchevskoi,Kamchatka,Russia,56.06,160.64,4835,Stratovolcano,2000
1766,7,20,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,
1766,4,5,NO,NO,Hekla,Iceland-S,Iceland,63.98,-19.70,1491,Stratovolcano,
1768,4,4,NO,NO,Cotopaxi,Ecuador,Ecuador,-0.68,-78.44,5911,Stratovolcano,49
